# SIMULATION: eb
# MODEL_VERSION: 5.0.1
YEAR	MONTH	DAY	OUT_R_NET	 OUT_SWNET	 OUT_LWNET	 OUT_IN_LONG	 OUT_SENSIBLE	 OUT_LATENT	 OUT_GRND_FLUX	 OUT_ENERGY_ERROR	 OUT_ALBEDO	 OUT_AERO_RESIST	 OUT_WIND	 OUT_AIR_TEMP	 OUT_SURF_TEMP
2009	01	01	15.0438	 62.5530	 -47.5092	 281.2531	 4.1027	 35.9549	 -10.0420	 3.0607	 0.2701	 58.3240	 1.5601	 5.7658	 5.0910
2009	01	02	3.2203	 30.2357	 -27.0154	 283.5053	 -12.9186	 23.3473	 -8.5601	 4.7063	 0.3876	 110.9257	 1.1874	 2.9696	 0.8567
2009	01	03	10.2021	 44.9820	 -34.7799	 275.3329	 -29.1477	 37.5872	 -3.5237	 3.7014	 0.4028	 99.8568	 1.7537	 4.0054	 0.8649
2009	01	04	9.5039	 53.1803	 -43.6763	 266.1157	 -16.1203	 18.7721	 -4.7398	 0.6559	 0.4315	 44.3540	 3.8071	 1.7453	 2.1169
2009	01	05	12.2260	 50.5113	 -38.2853	 269.6503	 -19.8454	 26.6646	 -7.2856	 4.3648	 0.4494	 110.4870	 1.8570	 2.7476	 1.4568
2009	01	06	16.4681	 18.3203	 -1.8521	 316.1817	 -0.6114	 15.9274	 -0.5862	 0.0000	 0.1822	 208.0460	 0.3717	 3.5591	 2.5950
2009	01	07	20.2848	 55.9845	 -35.6996	 284.5625	 -1.2533	 19.3587	 -0.0414	 0.0000	 0.1822	 46.6696	 1.5062	 4.0737	 3.0398
2009	01	08	22.2816	 69.1057	 -46.8241	 278.5064	 2.4113	 19.1552	 -0.1593	 0.0000	 0.1822	 81.4032	 0.8487	 5.5001	 4.0987
2009	01	09	17.0117	 84.8363	 -67.8246	 266.5483	 -21.4995	 32.8024	 0.9290	 0.0000	 0.1822	 13.8790	 4.1866	 6.3100	 5.9971
2009	01	10	18.1233	 87.2669	 -69.1436	 259.6605	 -7.4776	 29.2415	 -1.4719	 0.0000	 0.1822	 16.6038	 3.4855	 5.1992	 4.8264
2009	01	11	20.8623	 98.1730	 -77.3107	 259.3051	 -25.8508	 41.1991	 1.0426	 0.0000	 0.1822	 23.8485	 2.5211	 7.6242	 6.3517
2009	01	12	17.2413	 96.3232	 -79.0818	 263.1318	 -26.6199	 40.3619	 0.1222	 0.0000	 0.1822	 10.7233	 5.4052	 7.7573	 7.5612
2009	01	13	18.3154	 97.0746	 -78.7592	 268.9056	 -27.2800	 45.0023	 0.2037	 -0.0000	 0.1822	 14.3086	 4.0579	 9.1862	 8.6735
2009	01	14	19.0007	 101.8146	 -82.8139	 266.2628	 -32.4697	 49.0630	 0.2933	 -0.0000	 0.1822	 15.5164	 3.7491	 9.6339	 8.8782
2009	01	15	19.1704	 102.3591	 -83.1887	 267.2320	 -29.5315	 48.5805	 -0.2340	 -0.0000	 0.1822	 14.7538	 3.9340	 9.7964	 9.1630
2009	01	16	18.2054	 103.6558	 -85.4504	 269.7221	 -36.0570	 51.3922	 0.4649	 -0.0000	 0.1822	 11.7664	 4.9302	 10.4692	 10.0762
2009	01	17	20.3148	 103.5551	 -83.2403	 269.4463	 -25.1661	 47.5933	 -0.7852	 0.0000	 0.1822	 13.7226	 4.2232	 10.1171	 9.6343
2009	01	18	20.4543	 104.5565	 -84.1022	 269.5085	 -27.1052	 47.3734	 -0.2135	 -0.0000	 0.1822	 12.2619	 4.7263	 10.1376	 9.8081
2009	01	19	21.4500	 105.6171	 -84.1670	 270.1372	 -25.2973	 46.9083	 -0.2285	 0.0000	 0.1822	 11.8508	 4.8886	 10.2098	 9.9412
2009	01	20	22.3533	 79.4602	 -57.1069	 294.1679	 -16.2314	 39.7833	 -1.0417	 -0.4004	 0.1958	 17.7417	 3.4496	 9.9041	 9.4550
2009	01	21	40.2514	 79.4959	 -39.2446	 301.3776	 -79.4558	 125.0454	 -1.2249	 0.0000	 0.1822	 22.1229	 2.7076	 10.8859	 7.2359
2009	01	22	42.6484	 67.7494	 -25.1011	 322.5947	 -63.2349	 102.6340	 0.1473	 0.0000	 0.1822	 29.5513	 2.1113	 12.5461	 8.7533
2009	01	23	21.7909	 20.3064	 1.4845	 349.2582	 -15.3678	 40.1635	 -1.6424	 -0.0000	 0.1822	 34.4849	 1.6703	 10.0367	 8.8313
2009	01	24	27.2401	 39.3677	 -12.1276	 330.3096	 -26.9361	 61.4761	 -1.4714	 0.0000	 0.1822	 25.9737	 2.2463	 9.2322	 7.7313
2009	01	25	30.8860	 61.6309	 -30.7449	 297.4319	 -41.0738	 84.5313	 -3.2729	 0.0000	 0.1822	 17.1765	 3.3585	 6.1746	 4.7411
2009	01	26	12.0436	 41.4009	 -29.3573	 279.1270	 0.8691	 16.2629	 -10.7246	 9.5688	 0.4481	 160.2212	 0.9623	 0.9068	 0.6830
2009	01	27	18.8376	 61.1698	 -42.3322	 265.0891	 1.2677	 13.5133	 -5.9960	 5.5664	 0.4716	 161.7105	 1.2610	 1.4793	 1.6172
2009	01	28	40.5542	 105.3671	 -64.8129	 248.6881	 20.5674	 18.7826	 -0.6275	 -0.6657	 0.1822	 43.3419	 1.5174	 2.4404	 1.5485
