# SIMULATION: eb
# MODEL_VERSION: 5.0.1
YEAR	MONTH	DAY	OUT_R_NET	 OUT_SWNET	 OUT_LWNET	 OUT_IN_LONG	 OUT_SENSIBLE	 OUT_LATENT	 OUT_GRND_FLUX	 OUT_ENERGY_ERROR	 OUT_ALBEDO	 OUT_AERO_RESIST	 OUT_WIND	 OUT_AIR_TEMP	 OUT_SURF_TEMP
2009	01	01	-25.0479	 16.9587	 -42.0067	 217.0296	 10.7652	 0.7206	 -28.2067	 4.1110	 0.8161	 196.7541	 1.5824	 -8.1827	 -8.2268
2009	01	02	-10.6932	 10.0319	 -20.7251	 245.1748	 -7.5953	 0.0911	 -3.5198	 -2.3441	 0.8485	 262.0094	 1.5648	 -5.9159	 -9.1729
2009	01	03	-14.4466	 13.2140	 -27.6606	 227.8520	 -10.8039	 0.0000	 -2.6751	 -3.9941	 0.8487	 198.6407	 1.6387	 -6.6871	 -11.9016
2009	01	04	-22.6268	 12.4650	 -35.0919	 218.5952	 -47.1405	 0.0000	 -2.9117	 -6.6224	 0.8500	 35.0235	 4.3164	 -9.9975	 -12.3143
2009	01	05	-13.2880	 12.5483	 -25.8363	 219.9311	 -10.6700	 0.0000	 -3.6600	 -3.6535	 0.8500	 86.7356	 1.6828	 -9.6988	 -14.4316
2009	01	06	-2.8681	 8.0991	 -10.9672	 246.0214	 -2.8420	 0.0000	 -3.0789	 -0.9878	 0.8500	 171.3581	 0.6266	 -7.9111	 -11.6341
2009	01	07	-14.2833	 18.2496	 -32.5329	 223.3199	 -10.2659	 0.0000	 -3.1485	 -3.9102	 0.8248	 233.3889	 1.3533	 -5.5841	 -11.7276
2009	01	08	-7.8328	 19.8070	 -27.6397	 229.1446	 -5.4921	 0.0690	 -3.2090	 -2.3136	 0.8008	 446.3234	 0.6995	 -4.9436	 -11.5323
2009	01	09	-29.6948	 28.7790	 -58.4738	 212.9744	 -81.7421	 6.3999	 -2.2181	 -12.0763	 0.7814	 40.9422	 4.6076	 -3.5893	 -7.7669
2009	01	10	-24.3302	 29.9371	 -54.2673	 215.9503	 -44.3538	 2.9649	 -2.4122	 -8.9981	 0.7681	 69.2221	 3.2264	 -3.4826	 -7.9789
2009	01	11	-13.9714	 30.5242	 -44.4956	 222.3632	 -18.8160	 1.2111	 -3.2701	 -6.4205	 0.7560	 140.2753	 2.2125	 -3.1154	 -8.8199
2009	01	12	-17.8870	 44.6716	 -62.5586	 226.4984	 -81.8389	 10.5850	 2.2549	 -13.1942	 0.6550	 27.0484	 5.4481	 -0.5885	 -3.8520
2009	01	13	-5.6417	 58.5942	 -64.2359	 233.3207	 -39.1852	 13.8627	 -0.5215	 -6.0019	 0.5084	 28.8749	 3.7437	 0.3374	 -2.4434
2009	01	14	0.0411	 71.3894	 -71.3483	 223.1608	 -28.1256	 9.0476	 -1.1506	 -0.1393	 0.4236	 29.0775	 3.1614	 -1.1101	 -3.1431
2009	01	15	8.9711	 82.1395	 -73.1684	 228.5638	 -23.7199	 13.0800	 0.0071	 0.8680	 0.3596	 21.2094	 3.8131	 -0.0124	 -1.5580
2009	01	16	9.5544	 87.6540	 -78.0996	 225.3429	 -27.9976	 16.1785	 0.0463	 0.6326	 0.3270	 15.5238	 4.8896	 -0.0096	 -1.1082
2009	01	17	18.4507	 96.7755	 -78.3248	 220.6958	 0.6928	 5.5009	 -2.9623	 2.6872	 0.2778	 16.4355	 4.2317	 -1.5475	 -1.9802
2009	01	18	20.4261	 96.4383	 -76.0122	 220.7534	 4.2824	 4.6391	 -2.3097	 1.0584	 0.2671	 14.5843	 4.7848	 -2.1459	 -2.3657
